"Fecha","Número de confirmados","Media móvil semanal"
"21-Ago","9239","8536.9"
"22-Ago","6767","8465.4"
"23-Ago","4467","8370.4"
"24-Ago","8226","8679.1"
"25-Ago","9114","8529.6"
"26-Ago","8446","8079.1"
"27-Ago","7455","7673.4"
"28-Ago","6657","7304.6"
"29-Ago","4659","7003.4"
"30-Ago","3348","6843.6"
"31-Ago","5676","6479.3"
"01-Sep","6537","6111.1"
"02-Sep","6418","5821.4"
"03-Sep","5100","5485.0"
"04-Sep","4639","5196.7"
"05-Sep","3445","5023.3"
"06-Sep","2357","4881.7"
"07-Sep","4961","4779.6"
"08-Sep","5717","4662.4"
"09-Sep","5067","4469.4"
"10-Sep","4363","4364.1"
"11-Sep","3861","4253.0"
"12-Sep","2637","4137.6"
"13-Sep","1906","4073.1"
