"Fecha","Primera","Segunda","Unica","Refuerzo"
"14-Ene","16910000.0","16204085.0","574062.0","11975552.0"
"15-Ene","16911599.0","16206017.0","574063.0","11983443.0"
"16-Ene","16911701.0","16206115.0","574063.0","11984165.0"
"17-Ene","16928263.0","16229081.0","574087.0","12046145.0"
"18-Ene","16941762.0","16247367.0","574101.0","12096163.0"
"19-Ene","16956336.0","16266562.0","574124.0","12147452.0"
"20-Ene","16968585.0","16281461.0","574130.0","12191756.0"
"21-Ene","16979697.0","16292718.0","574147.0","12231929.0"
"22-Ene","16980898.0","16293748.0","574148.0","12237543.0"
"23-Ene","16981004.0","16293817.0","574148.0","12238245.0"
"24-Ene","16994975.0","16310189.0","574164.0","12284500.0"
"25-Ene","17007278.0","16326736.0","574169.0","12324448.0"
"26-Ene","17017713.0","16342286.0","574177.0","12358672.0"
"27-Ene","17027487.0","16356482.0","574188.0","12388986.0"
"28-Ene","17036554.0","16367372.0","574198.0","12419442.0"
"29-Ene","17037722.0","16368243.0","574198.0","12424088.0"
"30-Ene","17037806.0","16368316.0","574198.0","12424586.0"
"31-Ene","17049765.0","16384636.0","574208.0","12465625.0"
"01-Feb","17060075.0","16400061.0","574221.0","12499214.0"
"02-Feb","17069320.0","16415259.0","574229.0","12528076.0"
"03-Feb","17077912.0","16429399.0","574237.0","12554957.0"
"04-Feb","17085689.0","16443633.0","574242.0","12580714.0"
"05-Feb","17086438.0","16444651.0","574242.0","12583483.0"
"06-Feb","17086520.0","16444754.0","574242.0","12583832.0"
"07-Feb","17096455.0","16461302.0","574249.0","12613761.0"
"08-Feb","17105833.0","16477146.0","574254.0","12640470.0"
"09-Feb","17114111.0","16491243.0","574259.0","12664351.0"
"10-Feb","17121986.0","16504313.0","574262.0","12686073.0"
"11-Feb","17128752.0","16516308.0","574265.0","12706361.0"
"12-Feb","17129421.0","16517308.0","574267.0","12708633.0"
"13-Feb","17129533.0","16517416.0","574267.0","12708935.0"
"14-Feb","17136577.0","16530237.0","574273.0","12730591.0"
"15-Feb","17143380.0","16542575.0","574284.0","12752834.0"
"16-Feb","17150176.0","16555504.0","574293.0","12775404.0"
"17-Feb","17157201.0","16567696.0","574296.0","12797249.0"
"18-Feb","17164085.0","16579618.0","574302.0","12818195.0"
"19-Feb","17164647.0","16580539.0","574302.0","12820132.0"
"20-Feb","17164693.0","16580588.0","574302.0","12820307.0"
"21-Feb","17174862.0","16594345.0","574311.0","12854255.0"
"22-Feb","17184299.0","16608191.0","574318.0","12887576.0"
"23-Feb","17193223.0","16620669.0","574321.0","12918736.0"
"24-Feb","17202259.0","16633453.0","574325.0","12947591.0"
"25-Feb","17211159.0","16646106.0","574332.0","12974813.0"
"26-Feb","17212063.0","16647230.0","574332.0","12977201.0"
"27-Feb","17212142.0","16647307.0","574332.0","12977435.0"
"28-Feb","17223605.0","16663094.0","574348.0","13019560.0"
"01-Mar","17232943.0","16676240.0","574355.0","13059761.0"
"02-Mar","17239229.0","16684823.0","574392.0","13085622.0"
"03-Mar","17244795.0","16692757.0","574400.0","13109346.0"
"04-Mar","17251040.0","16702584.0","574417.0","13142236.0"
"05-Mar","17251659.0","16703599.0","574417.0","13146688.0"
"06-Mar","17251701.0","16703663.0","574417.0","13146895.0"
"07-Mar","17256265.0","16711091.0","574425.0","13171358.0"
"08-Mar","17259691.0","16717457.0","574434.0","13193944.0"
"09-Mar","17262824.0","16723756.0","574480.0","13217271.0"
"10-Mar","17265693.0","16729594.0","574485.0","13239841.0"
"11-Mar","17269696.0","16737556.0","574489.0","13274841.0"
"12-Mar","17270206.0","16738520.0","574489.0","13281491.0"
"13-Mar","17270238.0","16738580.0","574489.0","13281785.0"
"14-Mar","17273528.0","16744638.0","574494.0","13305913.0"
"15-Mar","17276388.0","16750198.0","574495.0","13330430.0"
"16-Mar","17278841.0","16755410.0","574500.0","13354519.0"
"17-Mar","17281334.0","16760251.0","574503.0","13377398.0"
"18-Mar","17284275.0","16766896.0","574518.0","13412232.0"
"19-Mar","17284626.0","16767684.0","574518.0","13419406.0"
"20-Mar","17284652.0","16767726.0","574518.0","13419698.0"
"21-Mar","17287335.0","16773571.0","574519.0","13442308.0"
"22-Mar","17289748.0","16779251.0","574530.0","13464814.0"
"23-Mar","17292147.0","16784651.0","574532.0","13486472.0"
