"","Positividad","Positividad últimos 7 días"
"14-Nov","0.0346","0.0338"
"15-Nov","0.0325","0.0335"
"16-Nov","0.0323","0.0333"
"17-Nov","0.0334","0.033"
"18-Nov","0.0322","0.033"
"19-Nov","0.0317","0.0325"
"20-Nov","0.0312","0.0326"
"21-Nov","0.0338","0.0324"
"22-Nov","0.0326","0.0325"
"23-Nov","0.0355","0.0329"
"24-Nov","0.0318","0.0327"
"25-Nov","0.0299","0.0324"
"26-Nov","0.0333","0.0326"
"27-Nov","0.0328","0.0328"
"28-Nov","0.0303","0.0323"
"29-Nov","0.0281","0.0317"
"30-Nov","0.0326","0.0313"
"01-Dic","0.0258","0.0304"
"02-Dic","0.0264","0.0299"
"03-Dic","0.0251","0.0287"
"04-Dic","0.0254","0.0277"
"05-Dic","0.0257","0.027"
"06-Dic","0.0239","0.0264"
"07-Dic","0.0267","0.0256"
"08-Dic","0.0241","0.0253"
"09-Dic","0.0247","0.0251"
"10-Dic","0.0267","0.0253"
"11-Dic","0.0246","0.0252"
"12-Dic","0.0235","0.0249"
"13-Dic","0.0229","0.0247"
"14-Dic","0.0209","0.0239"
"15-Dic","0.0173","0.0229"
"16-Dic","0.0199","0.0223"
"17-Dic","0.019","0.0212"
"18-Dic","0.02","0.0205"
"19-Dic","0.0191","0.0199"
"20-Dic","0.0179","0.0192"
"21-Dic","0.0213","0.0192"
"22-Dic","0.0168","0.0191"
"23-Dic","0.02","0.0192"
"24-Dic","0.0219","0.0196"
"25-Dic","0.0245","0.0202"
"26-Dic","0.0213","0.0205"
"27-Dic","0.0261","0.0217"
"28-Dic","0.0278","0.0226"
"29-Dic","0.0221","0.0234"
"30-Dic","0.025","0.0241"
"31-Dic","0.0285","0.025"
"01-Ene","0.0282","0.0256"
"02-Ene","0.0315","0.027"
"03-Ene","0.0369","0.0286"
"04-Ene","0.038","0.03"
"05-Ene","0.032","0.0314"
"06-Ene","0.0384","0.0334"
"07-Ene","0.0475","0.0361"
"08-Ene","0.053","0.0396"
"09-Ene","0.0504","0.0423"
"10-Ene","0.056","0.045"
"11-Ene","0.0724","0.05"
"12-Ene","0.0728","0.0558"
"13-Ene","0.069","0.0602"
"14-Ene","0.0859","0.0656"
"15-Ene","0.0908","0.071"
"16-Ene","0.0891","0.0766"
"17-Ene","0.0939","0.082"
"18-Ene","0.1144","0.088"
"19-Ene","0.121","0.0949"
"20-Ene","0.1169","0.1017"
"21-Ene","0.129","0.1079"
"22-Ene","0.1329","0.1139"
"23-Ene","0.1361","0.1206"
"24-Ene","0.1366","0.1267"
"25-Ene","0.1582","0.133"
"26-Ene","0.1781","0.1411"
"27-Ene","0.1882","0.1513"
"28-Ene","0.191","0.1602"
"29-Ene","0.2018","0.17"
"30-Ene","0.1982","0.1789"
"31-Ene","0.1979","0.1876"
"01-Feb","0.2112","0.1952"
"02-Feb","0.2395","0.204"
"03-Feb","0.2306","0.21"
"04-Feb","0.2392","0.2169"
"05-Feb","0.2443","0.223"
"06-Feb","0.2309","0.2277"
"07-Feb","0.2367","0.2332"
"08-Feb","0.231","0.236"
"09-Feb","0.2671","0.24"
"10-Feb","0.2612","0.2443"
"11-Feb","0.2623","0.2476"
"12-Feb","0.2679","0.251"
"13-Feb","0.2653","0.2559"
"14-Feb","0.2621","0.2596"
"15-Feb","0.2762","0.266"
"16-Feb","0.2754","0.2672"
"17-Feb","0.2713","0.2686"
"18-Feb","0.2768","0.2707"
"19-Feb","0.2842","0.273"
"20-Feb","0.2629","0.2727"
"21-Feb","0.2466","0.2705"
"22-Feb","0.2333","0.2644"
"23-Feb","0.2422","0.2596"
"24-Feb","0.2562","0.2575"
"25-Feb","0.2471","0.2532"
"26-Feb","0.2476","0.248"
"27-Feb","0.2142","0.241"
"28-Feb","0.2084","0.2356"
"01-Mar","0.2422","0.2368"
"02-Mar","0.2096","0.2322"
"03-Mar","0.218","0.2267"
"04-Mar","0.2188","0.2227"
"05-Mar","0.1991","0.2158"
"06-Mar","0.1874","0.2119"
"07-Mar","0.1779","0.2076"
"08-Mar","0.1695","0.1972"
"09-Mar","0.1672","0.1911"
"10-Mar","0.1781","0.1854"
"11-Mar","0.1772","0.1795"
"12-Mar","0.1701","0.1753"
"13-Mar","0.1525","0.1704"
"14-Mar","0.1488","0.1662"
"15-Mar","0.1547","0.1641"
"16-Mar","0.1098","0.1559"
"17-Mar","0.1405","0.1505"
"18-Mar","0.1335","0.1443"
"19-Mar","0.128","0.1383"
"20-Mar","0.1079","0.1319"
"21-Mar","0.1014","0.1251"
"22-Mar","0.1087","0.1185"
"23-Mar","0.0959","0.1166"
"24-Mar","0.0891","0.1092"
"25-Mar","0.0838","0.1021"
"26-Mar","0.0875","0.0963"
"27-Mar","0.078","0.0921"
"28-Mar","0.0725","0.0879"
"29-Mar","0.0802","0.0839"
"30-Mar","0.0758","0.081"
"31-Mar","0.0736","0.0788"
"01-Abr","0.0723","0.0771"
"02-Abr","0.0655","0.074"
"03-Abr","0.0612","0.0716"
"04-Abr","0.0565","0.0693"
"05-Abr","0.0506","0.0651"
"06-Abr","0.0577","0.0625"
"07-Abr","0.0569","0.0601"
"08-Abr","0.0571","0.0579"
"09-Abr","0.0539","0.0563"
"10-Abr","0.0466","0.0542"
"11-Abr","0.0466","0.0528"
"12-Abr","0.0401","0.0513"
"13-Abr","0.0499","0.0502"
"14-Abr","0.0433","0.0482"
"15-Abr","0.0479","0.0469"
"16-Abr","0.0457","0.0457"
"17-Abr","0.0428","0.0452"
"18-Abr","0.0459","0.0451"
"19-Abr","0.0415","0.0453"
"20-Abr","0.0455","0.0447"
"21-Abr","0.0452","0.0449"
"22-Abr","0.0447","0.0445"
"23-Abr","0.0516","0.0453"
"24-Abr","0.0404","0.045"
