"","ocupados","disponibles"
"27-Sep","1993","403"
"28-Sep","2044","353"
"29-Sep","2039","334"
"30-Sep","2016","335"
"01-Oct","2010","328"
"02-Oct","1946","352"
"03-Oct","1911","342"
"04-Oct","1921","332"
"05-Oct","1953","314"
"06-Oct","1903","321"
"07-Oct","1871","338"
"08-Oct","1872","314"
"09-Oct","1830","336"
"10-Oct","1813","338"
"11-Oct","1815","336"
"12-Oct","1812","335"
"13-Oct","1815","331"
"14-Oct","1822","309"
"15-Oct","1812","312"
"16-Oct","1798","318"
"17-Oct","1770","346"
"18-Oct","1752","357"
"19-Oct","1758","342"
"20-Oct","1777","322"
"21-Oct","1794","305"
"22-Oct","1815","280"
"23-Oct","1805","276"
"24-Oct","1789","306"
"25-Oct","1799","294"
"26-Oct","1806","290"
"27-Oct","1832","274"
"28-Oct","1850","232"
"29-Oct","1814","254"
"30-Oct","1820","249"
"31-Oct","1814","253"
"01-Nov","1831","238"
"02-Nov","1825","245"
"03-Nov","1840","227"
"04-Nov","1832","234"
"05-Nov","1831","231"
"06-Nov","1825","235"
"07-Nov","1818","242"
"08-Nov","1815","222"
"09-Nov","1819","218"
"10-Nov","1798","208"
"11-Nov","1809","200"
"12-Nov","1818","197"
"13-Nov","1818","208"
"14-Nov","1797","235"
"15-Nov","1816","223"
"16-Nov","1845","191"
"17-Nov","1831","213"
"18-Nov","1857","191"
"19-Nov","1846","212"
"20-Nov","1864","200"
"21-Nov","1855","207"
"22-Nov","1835","223"
"23-Nov","1854","203"
"24-Nov","1865","200"
"25-Nov","1890","183"
"26-Nov","1892","183"
"27-Nov","1874","200"
"28-Nov","1878","195"
"29-Nov","1899","189"
"30-Nov","1889","197"
"01-Dic","1893","187"
"02-Dic","1907","169"
"03-Dic","1900","180"
"04-Dic","1879","188"
"05-Dic","1856","214"
"06-Dic","1864","209"
"07-Dic","1869","199"
"08-Dic","1874","196"
"09-Dic","1867","200"
"10-Dic","1879","186"
"11-Dic","1863","197"
"12-Dic","1856","205"
"13-Dic","1845","212"
"14-Dic","1862","197"
"15-Dic","1844","201"
"16-Dic","1844","208"
"17-Dic","1837","218"
"18-Dic","1835","217"
"19-Dic","1804","239"
"20-Dic","1804","241"
"21-Dic","1800","241"
"22-Dic","1816","216"
"23-Dic","1809","206"
"24-Dic","1762","246"
"25-Dic","1753","250"
"26-Dic","1698","297"
"27-Dic","1716","277"
"28-Dic","1734","262"
"29-Dic","1708","268"
"30-Dic","1716","255"
"31-Dic","1729","238"
"01-Ene","1713","249"
"02-Ene","1670","270"
"03-Ene","1681","255"
"04-Ene","1713","225"
"05-Ene","1698","238"
"06-Ene","1700","256"
"07-Ene","1721","231"
"08-Ene","1725","233"
"09-Ene","1723","240"
"10-Ene","1733","235"
"11-Ene","1736","253"
"12-Ene","1803","252"
"13-Ene","1814","254"
"14-Ene","1830","250"
"15-Ene","1797","291"
"16-Ene","1760","327"
"17-Ene","1788","312"
"18-Ene","1785","306"
"19-Ene","1802","305"
"20-Ene","1810","281"
"21-Ene","1810","282"
"22-Ene","1795","303"
"23-Ene","1785","331"
"24-Ene","1769","352"
"25-Ene","1812","307"
"26-Ene","1812","307"
"27-Ene","1825","294"
"28-Ene","1824","292"
"29-Ene","1818","305"
"30-Ene","1793","331"
"31-Ene","1805","316"
"01-Feb","1844","278"
"02-Feb","1853","274"
"03-Feb","1859","269"
"04-Feb","1869","256"
"05-Feb","1870","256"
"06-Feb","1849","266"
"07-Feb","1870","244"
"08-Feb","1892","222"
"09-Feb","1925","203"
"10-Feb","1903","221"
"11-Feb","1944","173"
"12-Feb","2027","174"
"13-Feb","2044","204"
"14-Feb","2051","215"
"15-Feb","2099","191"
"16-Feb","2157","189"
"17-Feb","2177","182"
"18-Feb","2183","201"
"19-Feb","2190","202"
"20-Feb","2191","209"
"21-Feb","2221","192"
"22-Feb","2253","166"
"23-Feb","2235","203"
"24-Feb","2298","154"
"25-Feb","2296","186"
"26-Feb","2327","172"
"27-Feb","2300","212"
"28-Feb","2322","185"
"01-Mar","2346","161"
"02-Mar","2337","182"
"03-Mar","2356","177"
"04-Mar","2354","181"
"05-Mar","2324","209"
"06-Mar","2292","236"
"07-Mar","2285","239"
"08-Mar","2325","205"
"09-Mar","2301","240"
"10-Mar","2298","235"
"11-Mar","2273","255"
"12-Mar","2272","242"
"13-Mar","2262","245"
"14-Mar","2250","253"
"15-Mar","2246","257"
"16-Mar","2237","257"
"17-Mar","2214","265"
"18-Mar","2182","278"
"19-Mar","2132","314"
"20-Mar","2110","322"
"21-Mar","2111","326"
"22-Mar","2111","329"
"23-Mar","2116","321"
"24-Mar","2110","323"
"25-Mar","2080","342"
"26-Mar","2077","339"
"27-Mar","2062","349"
"28-Mar","2043","366"
"29-Mar","2064","338"
"30-Mar","2054","329"
"31-Mar","2018","344"
"01-Abr","2015","327"
"02-Abr","2014","301"
"03-Abr","1975","303"
"04-Abr","1945","330"
"05-Abr","1949","322"
"06-Abr","1938","325"
"07-Abr","1914","325"
"08-Abr","1917","307"
"09-Abr","1894","328"
"10-Abr","1864","345"
"11-Abr","1867","349"
"12-Abr","1871","338"
"13-Abr","1821","348"
"14-Abr","1810","337"
"15-Abr","1791","346"
"16-Abr","1760","372"
"17-Abr","1732","407"
"18-Abr","1740","390"
"19-Abr","1767","366"
"20-Abr","1805","329"
"21-Abr","1784","340"
"22-Abr","1777","332"
"23-Abr","1774","335"
"24-Abr","1759","350"
"25-Abr","1766","343"
"26-Abr","1791","321"
"27-Abr","1787","315"
"28-Abr","1786","310"
"29-Abr","1766","318"
"30-Abr","1759","320"
"01-May","1729","340"
"02-May","1724","348"
"03-May","1754","323"
"04-May","1770","303"
"05-May","1758","307"
"06-May","1745","308"
"07-May","1703","337"
"08-May","1682","337"
"09-May","1669","357"
"10-May","1671","357"
"11-May","1697","327"
"12-May","1695","333"
"13-May","1693","331"
"14-May","1679","340"
"15-May","1659","364"
"16-May","1663","353"
"17-May","1681","342"
"18-May","1678","340"
"19-May","1701","318"
"20-May","1721","295"
"21-May","1683","330"
"22-May","1650","356"
"23-May","1628","378"
"24-May","1669","343"
"25-May","1656","351"
"26-May","1673","332"
"27-May","1699","316"
"28-May","1702","313"
"29-May","1683","333"
"30-May","1695","328"
"31-May","1694","335"
"01-Jun","1724","304"
"02-Jun","1718","301"
"03-Jun","1733","287"
"04-Jun","1748","284"
"05-Jun","1722","307"
"06-Jun","1710","318"
"07-Jun","1731","303"
"08-Jun","1773","256"
"09-Jun","1789","246"
"10-Jun","1752","279"
"11-Jun","1761","269"
"12-Jun","1745","284"
"13-Jun","1767","263"
"14-Jun","1770","264"
"15-Jun","1800","232"
"16-Jun","1779","248"
"17-Jun","1772","263"
"18-Jun","1756","276"
"19-Jun","1711","300"
"20-Jun","1744","282"
"21-Jun","1751","279"
"22-Jun","1745","276"
"23-Jun","1751","278"
"24-Jun","1783","227"
"25-Jun","1750","262"
"26-Jun","1738","273"
"27-Jun","1704","311"
"28-Jun","1736","278"
"29-Jun","1745","266"
"30-Jun","1802","216"
"01-Jul","1801","219"
"02-Jul","1779","228"
"03-Jul","1756","249"
"04-Jul","1722","277"
"05-Jul","1732","278"
"06-Jul","1746","259"
"07-Jul","1756","251"
"08-Jul","1761","245"
"09-Jul","1743","254"
"10-Jul","1747","261"
"11-Jul","1748","257"
"12-Jul","1764","239"
"13-Jul","1723","286"
"14-Jul","1744","269"
"15-Jul","1758","261"
"16-Jul","1753","266"
"17-Jul","1740","276"
"18-Jul","1730","286"
"19-Jul","1739","276"
"20-Jul","1739","279"
"21-Jul","1728","288"
"22-Jul","1752","260"
"23-Jul","1748","269"
"24-Jul","1743","265"
"25-Jul","1721","290"
"26-Jul","1735","272"
"27-Jul","1734","274"
