"Region","Antofagasta","Arica y Parinacota","Atacama","Aysén","Biobío","Coquimbo","Araucanía","O’Higgins","Los Lagos","Los Ríos","Magallanes","Maule","Metropolitana","Tarapacá","Valparaíso","Ñuble"
"07-Jun","13.3","13.1","4.0","0.4","5.3","6.2","4.3","5.7","2.2","2.1","2.1","10.2","49.2","33.2","12.4","6.5"
"08-Jun","13.6","13.5","4.9","0.5","5.0","7.8","4.2","6.4","2.4","2.2","2.5","10.5","47.3","32.3","13.1","7.3"
"09-Jun","15.5","14.7","5.1","0.4","5.3","8.3","4.3","6.8","2.1","2.7","2.2","11.5","47.4","33.5","13.1","8.2"
"10-Jun","17.4","13.0","5.6","0.4","5.4","9.2","4.4","7.4","2.1","2.8","2.1","10.7","48.4","33.9","13.4","8.0"
"11-Jun","18.4","13.1","5.9","0.4","5.8","9.8","5.0","8.4","2.2","2.9","2.6","10.4","49.7","33.1","13.5","8.4"
"12-Jun","19.8","13.0","6.5","0.4","6.2","10.4","4.1","8.8","1.8","3.1","2.8","10.8","53.9","32.0","13.9","8.1"
"13-Jun","20.8","13.8","7.0","0.7","6.7","10.5","4.6","9.8","2.0","3.1","3.4","11.0","55.5","34.0","14.2","7.5"
"14-Jun","23.4","14.7","6.4","0.5","6.9","9.7","4.2","10.7","2.2","2.8","5.7","11.2","56.2","33.4","13.8","8.0"
"15-Jun","27.1","15.0","6.6","0.7","6.9","9.4","4.5","10.9","2.5","3.7","7.8","11.5","56.5","32.3","13.6","7.8"
"16-Jun","25.6","13.7","7.0","0.7","7.0","9.3","4.6","13.0","2.4","3.1","9.8","11.4","58.3","32.6","13.6","7.5"
"17-Jun","25.0","16.0","8.4","0.7","7.2","9.4","4.3","14.1","2.8","3.1","9.7","10.6","56.4","33.1","13.5","8.1"
"18-Jun","26.9","15.1","8.5","0.5","7.6","9.5","4.3","15.7","2.7","3.2","9.4","11.7","54.0","32.3","13.3","7.7"
"19-Jun","30.4","15.8","9.1","0.7","8.3","10.0","4.2","18.8","2.9","3.0","9.7","12.8","52.0","32.2","13.1","10.1"
"20-Jun","35.2","14.6","9.3","0.5","9.1","10.0","3.6","20.8","3.1","3.1","9.5","12.7","49.5","31.0","12.4","10.4"
"21-Jun","35.2","14.5","10.2","0.5","10.1","10.8","3.8","23.7","3.4","3.5","8.7","14.0","46.2","30.0","12.8","10.0"
"22-Jun","34.7","15.6","10.2","0.3","11.8","9.9","3.7","25.9","3.8","2.7","7.4","14.6","44.7","29.4","13.2","9.1"
"23-Jun","38.7","15.9","10.7","0.3","12.7","10.1","3.3","25.4","4.1","2.7","6.3","15.3","42.0","28.7","13.5","8.9"
"24-Jun","41.0","14.4","10.2","0.3","12.4","9.6","3.1","26.1","3.7","2.6","6.3","16.0","39.9","26.8","14.1","8.1"
"25-Jun","41.0","15.4","11.4","0.4","13.0","9.6","2.8","26.7","3.9","2.6","7.4","15.6","39.9","26.4","14.6","7.2"
"26-Jun","39.5","14.3","12.0","0.4","13.4","8.7","2.9","26.3","3.9","2.6","7.6","15.2","36.7","26.8","14.9","4.8"
"27-Jun","37.4","16.2","12.5","0.9","12.7","8.7","2.9","24.6","3.8","2.5","8.7","15.4","35.6","23.4","14.9","5.1"
"28-Jun","38.1","15.8","12.4","1.7","12.8","8.5","2.9","23.8","3.6","2.4","8.0","14.0","33.4","23.7","14.6","5.7"
"29-Jun","39.6","15.0","13.1","1.9","12.3","9.1","2.9","23.9","3.3","2.4","7.0","14.0","32.5","23.1","14.0","5.7"
"30-Jun","38.0","15.3","13.4","1.9","11.8","9.7","2.9","24.8","3.0","2.7","7.1","13.2","32.2","22.7","13.5","5.6"
"01-Jul","38.3","17.2","14.9","1.9","11.9","9.9","2.9","23.6","3.2","2.7","7.8","13.4","30.3","22.8","13.3","5.4"
"02-Jul","36.5","18.2","13.5","2.3","10.7","9.1","2.9","22.7","3.7","2.4","6.4","12.5","27.4","23.8","12.5","6.0"
"03-Jul","37.7","19.3","12.7","2.1","10.1","8.9","3.1","21.5","4.2","2.1","6.3","12.1","26.4","21.9","12.2","6.0"
"04-Jul","37.1","19.2","12.8","1.5","9.6","9.4","3.4","22.2","4.5","2.1","4.5","12.1","25.2","22.4","12.5","6.0"
"05-Jul","37.4","20.2","13.5","0.9","9.1","9.9","3.2","21.1","5.1","1.6","4.1","11.9","24.3","23.0","12.7","6.0"
"06-Jul","35.7","22.8","13.4","0.8","8.7","10.0","3.4","20.3","5.0","1.5","4.9","11.5","22.8","24.6","12.3","6.5"
"07-Jul","36.4","23.0","12.7","0.8","8.7","9.8","3.4","20.0","5.2","1.2","4.2","11.9","21.1","24.5","12.3","6.8"
"08-Jul","36.0","22.8","11.0","0.9","8.3","9.7","3.3","19.1","5.8","1.2","3.7","10.9","20.6","25.1","11.6","8.0"
"09-Jul","37.0","25.0","13.3","0.4","8.8","10.4","3.4","19.0","5.8","1.6","4.4","11.1","21.1","24.3","11.6","9.4"
"10-Jul","35.0","24.5","13.7","0.5","8.8","11.9","3.0","20.8","5.4","1.6","4.6","10.8","20.2","24.7","11.6","9.7"
"11-Jul","36.3","25.3","14.3","0.7","8.9","11.8","2.6","19.5","5.9","1.6","5.3","10.1","18.6","25.3","10.9","10.5"
"12-Jul","34.7","26.1","14.7","1.1","8.6","11.4","2.8","18.3","5.7","1.5","5.5","9.9","17.8","23.8","10.7","10.8"
"13-Jul","34.7","26.9","15.1","1.3","8.4","10.6","2.1","17.8","6.0","1.3","5.0","9.8","17.5","20.9","11.0","10.4"
"14-Jul","33.7","29.4","15.9","1.3","8.3","9.5","2.0","16.9","6.8","1.5","5.9","9.4","16.7","19.1","10.7","10.4"
"15-Jul","32.3","31.5","16.6","1.5","8.4","10.1","2.4","17.1","6.6","1.4","6.4","9.6","16.2","17.8","10.3","9.3"
"16-Jul","31.1","32.1","14.3","1.6","8.6","9.8","2.4","16.5","6.8","1.6","5.4","9.9","15.3","16.5","10.3","8.6"
"17-Jul","31.7","34.7","12.7","2.5","8.5","9.5","2.2","14.6","7.1","2.3","4.6","10.0","15.2","16.6","9.9","7.5"
"18-Jul","29.1","34.9","12.2","2.4","8.5","9.2","2.1","13.8","6.2","2.2","4.2","9.6","14.8","17.2","9.4","8.2"
"19-Jul","28.7","33.3","11.5","1.7","8.3","10.6","1.9","13.7","6.8","2.4","3.9","9.9","13.4","16.2","8.8","7.5"
"20-Jul","26.2","35.4","10.7","1.5","8.5","11.6","2.1","13.0","6.4","2.7","3.5","9.5","12.5","19.6","8.6","7.6"
"21-Jul","23.9","36.9","11.7","1.5","8.6","12.6","2.3","12.1","6.5","2.5","2.6","10.0","12.2","20.6","8.4","7.5"
"22-Jul","24.1","34.8","10.9","1.2","8.6","12.1","2.1","12.2","6.8","2.4","2.5","9.7","12.3","20.7","9.1","7.4"
"23-Jul","23.5","36.4","12.6","1.1","8.5","13.3","2.1","11.9","6.9","2.1","3.0","9.4","11.9","22.2","9.1","6.8"
"24-Jul","22.2","39.1","15.3","0.1","8.7","13.8","2.4","11.7","7.7","1.4","3.1","9.0","11.2","23.2","8.8","7.1"
"25-Jul","21.0","40.5","16.7","0.4","9.0","15.1","2.7","11.9","9.5","1.5","2.7","9.8","10.8","21.9","9.6","5.0"
"26-Jul","20.1","45.6","22.0","0.4","9.3","15.1","2.7","11.8","10.1","1.5","3.0","9.6","10.8","20.8","9.3","4.4"
"27-Jul","20.9","42.5","20.9","0.8","9.3","15.1","3.0","11.7","11.7","1.4","3.8","10.0","10.7","20.3","9.1","5.2"
"28-Jul","21.8","43.5","20.2","0.8","9.6","15.7","3.1","11.0","12.3","1.4","5.7","9.0","10.6","28.6","9.0","4.9"
"29-Jul","21.2","45.8","21.6","1.1","9.8","16.9","3.4","10.4","12.2","1.5","5.4","9.4","10.5","29.1","8.3","5.4"
"30-Jul","19.6","43.9","24.0","1.1","9.7","16.2","3.4","10.1","12.4","1.5","9.3","9.4","10.0","30.3","8.1","5.1"
"31-Jul","19.5","40.6","26.6","1.3","9.6","16.6","3.4","9.1","12.5","1.5","10.5","9.2","9.5","26.9","8.0","5.0"
